Source,Target
Tag: 0.4766728313880801,POSIX_ACCESS
Tag: 0.4766728313880801,POSIX_STRIDE
Tag: 0.4766728313880801,POSIX_SIZE
Tag: 0.4766728313880801,POSIX_OPERATIONS
Tag: 0.4766728313880801,POSIX_DATA_TRANSFERS
Tag: 0.4766728313880801,POSIX_PATTERNS
Tag: 0.4766728313880801,POSIX_ALIGNMENTS
Tag: 0.4766728313880801,POSIX_RESOURCE_UTILIZATION
Tag: 0.4766728313880801,LUSTRE_CONFIGURATION
Tag: 0.4766728313880801,GENERAL
POSIX_ACCESS,POSIX_ACCESS1_ACCESS: 2.0863598306747484
POSIX_ACCESS,POSIX_ACCESS2_ACCESS: 1.963787827345556
POSIX_ACCESS,POSIX_ACCESS3_ACCESS: 2.3404441148401185
POSIX_ACCESS,POSIX_ACCESS4_ACCESS: 1.8864907251724816
POSIX_ACCESS,POSIX_ACCESS1_COUNT: 6.161823323404445
POSIX_ACCESS,POSIX_ACCESS2_COUNT: 6.161823323404445
POSIX_ACCESS,POSIX_ACCESS3_COUNT: 4.113843118937487
POSIX_ACCESS,POSIX_ACCESS4_COUNT: 3.6895752157599375
POSIX_STRIDE,POSIX_STRIDE1_STRIDE: 0.0
POSIX_STRIDE,POSIX_STRIDE2_STRIDE: 0.0
POSIX_STRIDE,POSIX_STRIDE3_STRIDE: 0.0
POSIX_STRIDE,POSIX_STRIDE4_STRIDE: 0.0
POSIX_STRIDE,POSIX_STRIDE1_COUNT: 0.0
POSIX_STRIDE,POSIX_STRIDE2_COUNT: 0.0
POSIX_STRIDE,POSIX_STRIDE3_COUNT: 0.0
POSIX_STRIDE,POSIX_STRIDE4_COUNT: 0.0
POSIX_SIZE,POSIX_SIZE_READ_0_100: 4.407373906311004
POSIX_SIZE,POSIX_SIZE_READ_100_1K: 4.115976429454817
POSIX_SIZE,POSIX_SIZE_READ_1K_10K: 3.5844443071651764
POSIX_SIZE,POSIX_SIZE_READ_100K_1M: 0.0
POSIX_SIZE,POSIX_SIZE_WRITE_0_100: 6.174827652331425
POSIX_SIZE,POSIX_SIZE_WRITE_100_1K: 6.163028023714008
POSIX_SIZE,POSIX_SIZE_WRITE_1K_10K: 0.0
POSIX_SIZE,POSIX_SIZE_WRITE_10K_100K: 0.0
POSIX_SIZE,POSIX_SIZE_WRITE_100K_1M: 0.0
POSIX_OPERATIONS,POSIX_OPENS: 3.3079237036118814
POSIX_OPERATIONS,POSIX_FILENOS: 0.0
POSIX_OPERATIONS,POSIX_READS: 4.627867463729622
POSIX_OPERATIONS,POSIX_WRITES: 6.469997759266206
POSIX_OPERATIONS,POSIX_SEEKS: 4.552351807979569
POSIX_OPERATIONS,POSIX_STATS: 3.314709692955174
POSIX_DATA_TRANSFERS,POSIX_BYTES_READ: 7.528529736015931
POSIX_DATA_TRANSFERS,POSIX_BYTES_WRITTEN: 8.491858265139298
POSIX_PATTERNS,POSIX_CONSEC_READS: 4.465754519833878
POSIX_PATTERNS,POSIX_CONSEC_WRITES: 6.469987458020581
POSIX_PATTERNS,POSIX_SEQ_READS: 4.4662297917058345
POSIX_PATTERNS,POSIX_SEQ_WRITES: 6.469994374598167
POSIX_ALIGNMENTS,POSIX_MEM_ALIGNMENT: 0.9542425094393248
POSIX_ALIGNMENTS,POSIX_FILE_ALIGNMENT: 6.020600327454919
POSIX_ALIGNMENTS,POSIX_MEM_NOT_ALIGNED: 4.21539960109389
POSIX_ALIGNMENTS,POSIX_FILE_NOT_ALIGNED: 6.474277760484284
POSIX_RESOURCE_UTILIZATION,POSIX_RW_SWITCHES: 0.3010299956639812
LUSTRE_CONFIGURATION,LUSTRE_STRIPE_SIZE: 6.020600327454919
LUSTRE_CONFIGURATION,LUSTRE_STRIPE_WIDTH: 0.3010299956639812
GENERAL,nprocs: 1.5185139398778875
