Attribute,Pearson_Correlation,Spearman_Correlation,Mutual_Information
nprocs,-0.2980521126246819,-0.35420605394482707,0.968894793160689
POSIX_OPENS,-0.40574093496651886,-0.6214688963686054,1.0007533382365799
LUSTRE_STRIPE_WIDTH,0.4919955466814215,0.5196412249814962,0.6443282962170163
POSIX_READS,-0.3489280673969084,-0.6266569956957284,0.9012054092324817
POSIX_WRITES,-0.5346927991884302,-0.5884311479270555,1.0454173152337916
POSIX_SEEKS,-0.2892667138630127,-0.5313260537283914,0.9598452619097531
POSIX_STATS,-0.3902172072517341,-0.6199136013508576,1.0142069987445363
POSIX_BYTES_READ,0.8930457112003667,0.6760261261267194,0.9876912520841545
POSIX_BYTES_WRITTEN,-0.33553419243495025,-0.3035963627933965,0.9733049782839793
POSIX_CONSEC_READS,-0.4019806417141119,-0.7591624536752392,1.027179722571202
POSIX_CONSEC_WRITES,-0.5581291103691267,-0.6150447403469026,1.0601244234850165
POSIX_SEQ_READS,-0.3131009854928764,-0.6264642137491045,0.8935608929441095
POSIX_SEQ_WRITES,-0.5523844678794115,-0.5930378401540204,1.0523822906178846
POSIX_RW_SWITCHES,0.5914572897708885,0.10337630793893078,0.7004891930468264
POSIX_MEM_NOT_ALIGNED,-0.5387366192317571,-0.6269697614409431,1.0620449621113277
POSIX_FILE_NOT_ALIGNED,-0.5463694035669691,-0.7228336392508151,0.9330973614692786
POSIX_SIZE_READ_0_100,-0.5962727380286235,-0.7088729612119559,1.0897161758951377
POSIX_SIZE_READ_100_1K,-0.4469712803921973,-0.4820417348652909,1.0589545506144549
POSIX_SIZE_READ_1K_10K,-0.47608097971571334,-0.6125790827991116,1.0342497181585943
POSIX_SIZE_READ_100K_1M,0.8384432175585647,0.7292058086887694,0.8534725287291056
POSIX_SIZE_WRITE_0_100,-0.5867374778760559,-0.6551191131179644,1.0891760844808178
POSIX_SIZE_WRITE_100_1K,-0.6750478905389629,-0.6296711374290315,1.0650913985343413
POSIX_SIZE_WRITE_1K_10K,0.6212700702692394,0.24246212330352424,0.019898989898991637
POSIX_SIZE_WRITE_10K_100K,0.35981441163075956,0.4314660100247589,0.23150112068659912
POSIX_SIZE_WRITE_100K_1M,0.6213478066189121,0.24246212330352424,0.019898989898991637
POSIX_STRIDE1_STRIDE,0.8325703330174665,0.8668823680932255,0.8317401626097597
POSIX_STRIDE2_STRIDE,0.8250851201229717,0.8664144442653797,0.811206188100904
POSIX_STRIDE3_STRIDE,0.7759780500719456,0.6829214574887087,0.7428451867562753
POSIX_STRIDE4_STRIDE,0.8021824197565784,0.7056759247742382,0.7746891688253967
POSIX_STRIDE1_COUNT,0.8750431027948267,0.867243337903278,0.724234322432827
POSIX_STRIDE2_COUNT,0.9348653917332005,0.7292191779409937,0.8275076733402529
POSIX_STRIDE3_COUNT,0.930240378096747,0.7292191779409937,0.8436523781831269
POSIX_STRIDE4_COUNT,0.8520071783645496,0.7292191779409937,0.7964540413681711
POSIX_ACCESS1_ACCESS,0.49340058488099275,0.3917724702136403,1.0193574992879788
POSIX_ACCESS2_ACCESS,0.5827259624253515,0.5779958034015134,1.0478206971220898
POSIX_ACCESS3_ACCESS,0.4199672606079113,0.48005307274351505,0.8759037693235756
POSIX_ACCESS4_ACCESS,0.7204143151323613,0.8380855814724911,0.8807620499630358
POSIX_ACCESS1_COUNT,-0.6108817880673104,-0.7500644623439248,1.0629140040347977
POSIX_ACCESS2_COUNT,-0.5625502729091302,-0.7508767361367128,0.9727923257438142
POSIX_ACCESS3_COUNT,-0.5612066912546904,-0.6294344194830835,1.0547246873278702
POSIX_ACCESS4_COUNT,-0.5168019519778564,-0.6160183701967131,1.0790708627572172
